ample_index,ros_time_s,unix_time_s,sensor_0_mm,sensor_1_mm,sensor_2_mm,sensor_3_mm,sensor_4_mm,sensor_5_mm,sensor_6_mm,sensor_7_mm,odin_frame_id,odin_stamp_s,odin_x_m,odin_y_m,odin_z_m,odin_qx,odin_qy,odin_qz,odin_qw,odin_yaw_rad,odin_pose_age_s,input_field_x_m,input_field_y_m,input_field_yaw_rad,corrected_robot_x_m,corrected_robot_y_m,corrected_robot_yaw_rad,corrected_gripper_x_m,corrected_gripper_y_m,corrected_gripper_yaw_rad,target_x_m,target_y_m,target_projection_x_m,target_projection_y_m,gripper_forward_move_m,raw_gripper_forward_move_m,direct,gripper_lateral_error_m,robot_delta_x_m,robot_delta_y_m
12,1783272077.558231,1783272077.5582762,38.0,6042.0,46.0,797.0,48.0,349.0,18.0,3238.0,map,18513.860349291,0.7762651009068023,-0.5864978730684755,0.020480136940766655,0.01687172436828686,-0.006672852054682361,0.7228344171088583,0.690783050896006,1.615905343129044,0.008250236511230469,1.1762651009068024,0.6635021269315245,1.615905343129044,1.1709992176231083,0.657685329019783,1.615905343129044,1.1611916581026978,0.11558048710107335,0.04510901632904396,1.05,-0.15,1.0382622723761934,0.11003149918561474,-0.12305456164637531,-0.12305456164637531,1.0,-0.26029628275964495,-0.0052658832836940395,-0.0058167979117415
13,1783272081.6458454,1783272081.6459012,41.0,6172.0,43.0,784.0,48.0,214.0,17.0,3348.0,map,18517.95233041,0.7652862419232921,-0.7141087904084266,0.022843459898122344,0.01622914376127852,-0.005788937369007062,0.7263652644259253,0.6870928654355022,1.6261320823404528,0.005006313323974609,1.165286241923292,0.5358912095915734,1.6261320823404528,1.1580481396618005,0.5221967378911986,1.6261320823404528,1.1537849612116045,-0.019980053538458126,0.05533575554045278,1.05,-0.15,1.0431373962165775,-0.026109077207387036,-0.11081718535706912,-0.11081718535706912,1.0,-0.12408084494027846,-0.007238102261491575,-0.013694471700374855
14,1783272092.1126444,1783272092.1126654,41.0,6274.0,46.0,766.0,47.0,114.0,19.0,3373.0,map,18528.385885542,0.7490968376282362,-0.8153158230701533,0.023858615858302734,0.016157293744368233,-0.005612748272707307,0.7312177610678867,0.681929633330707,1.6403081223838232,0.0025238990783691406,1.1490968376282362,0.43468417692984673,1.6403081223838232,1.1399216598387798,0.4214624346156626,1.6403081223838232,1.1433445722270776,-0.12072031273640668,0.06951179558382314,1.05,-0.15,1.048421570912541,-0.12732922894855384,-0.09515279266557922,-0.09515279266557922,1.0,-0.02272565287183685,-0.009175177789456423,-0.01322174231418416
15,1783272097.3663116,1783272097.366373,41.0,6697.0,44.0,774.0,46.0,123.0,21.0,3121.0,map,18533.646657237,0.7497746198521172,-0.8149338183431982,0.0240241309432722,0.017016269678381463,-0.004044213613451584,0.761846919583791,0.6475209355867731,1.73243156177925,0.006287336349487305,1.1497746198521173,0.4350661816568018,1.73243156177925,1.1414602490034549,0.423528131987287,1.73243156177925,1.1947457676235815,-0.11604067860209445,0.16163523497925003,1.05,-0.15,1.048354885021209,-0.13991084318131275,-0.14832422346380442,-0.14832422346380442,1.0,-0.010222401313072473,-0.008314370848662378,-0.011538049669514772
16,1783272101.2341964,1783272101.2342403,38.0,1948.0,47.0,820.0,47.0,114.0,21.0,4263.0,map,18537.54259367,0.7487635509510179,-0.8259185022399761,0.02397063523063639,0.013601682732564645,-0.008072886518243472,0.6193468762055028,0.7849581324278333,1.3358507915626399,0.004079103469848633,1.148763550951018,0.4240814977600239,1.3358507915626399,1.1445374929291343,0.4186481910733073,1.3358507915626399,0.985269876455743,-0.0996255533883819,-0.23494553523736017,1.05,-0.15,1.0578966992324594,-0.11700995398828341,0.07467846256356939,0.07467846256356939,1.0,-0.03392198394291086,-0.004226058021883583,-0.005433306686716599
17,1783272123.3763576,1783272123.3763943,38.0,6219.0,45.0,207.0,47.0,175.0,20.0,nan,map,18559.671617144,0.16605303314352293,-0.7676934911784941,0.023826729346942632,0.01461190700702063,-0.008426455427529409,0.7153256271589554,0.6985876710565346,1.5943345860490452,0.006294965744018555,0.566053033143523,0.48230650882150594,1.5943345860490452,0.5806154593329855,0.48454491404753075,1.5943345860490452,0.5591174763976945,-0.05722227265278023,0.02353825924904518,1.05,-0.15,1.0475450572794245,-0.04572341390494188,0.48856291868958057,0.48856291868958057,1.0,-0.10430547996822301,0.014562426189462574,0.002238405226024809
18,1783272128.9466002,1783272128.9466805,41.0,5292.0,46.0,205.0,47.0,185.0,19.0,3494.0,map,18565.226434327,0.16709225626063506,-0.7663960556240478,0.023489610309000396,0.015702014963816097,-0.0066361675100950175,0.7622657137238078,0.6470397126050209,1.7337890366279263,0.006701946258544922,0.5670922562606351,0.4836039443759522,1.7337890366279263,0.5763408395050397,0.4849578378336353,1.7337890366279263,0.6303587598941025,-0.05453814188474642,0.16299270982792624,1.05,-0.15,1.0236644553615442,0.010141610437315783,0.39858856035713225,0.39858856035713225,1.0,-0.16229262554059903,0.009248583244404585,0.001353893457683053
19,1783272137.764958,1783272137.7650194,43.0,6008.0,46.0,156.0,47.0,378.0,23.0,3658.0,map,18574.074023633,0.11691036212012684,-0.5708575791446314,0.021453246756664875,0.015141188285434844,-0.00892476677150167,0.7187514622382316,0.6950449111286141,1.6041886622932704,0.005133628845214844,0.5169103621201269,0.6791424208553686,1.6041886622932704,0.529827268281287,0.6871696245859193,1.6041886622932704,0.513668857860606,0.14521690189866085,0.033392335493270364,1.05,-0.15,1.03955153185832,0.1627838824068796,0.52617600250787,0.52617600250787,1.0,-0.31295834799542954,0.012916906161160147,0.00802720373055077
20,1783272144.1122217,1783272144.1123428,40.0,5110.0,47.0,150.0,46.0,392.0,20.0,2388.0,map,18580.423181979,0.11251582066885979,-0.5668278253145183,0.021647600722274896,0.015982142421695097,-0.007501988781366137,0.76548499867099,0.6432114800729317,1.7438054794175366,0.001859426498413086,0.5125158206688598,0.6831721746854817,1.7438054794175366,0.5212044768448139,0.689173600655679,1.7438054794175366,0.5806234277274177,0.15024574265289736,0.17300915261753658,1.05,-0.15,0.9851752677955049,0.22094370637275262,0.410682837937756,0.410682837937756,1.0,-0.37656537175228877,0.008688656175954046,0.0060014259701972605
21,1783272152.306203,1783272152.3062513,43.0,5733.0,41.0,185.0,46.0,656.0,16.0,5054.0,map,18588.614813802,0.13913144226387097,-0.28984195023962533,0.019999766894103314,0.01572531198538784,-0.009094714913399337,0.7160801452983365,0.6977816465292846,1.5965220939450933,0.005063295364379883,0.539131442263871,0.9601580497603747,1.5965220939450933,0.5586702819366248,0.9653909075701947,1.5965220939450933,0.5383574694908443,0.4235779901291299,0.025725767145093226,1.05,-0.15,1.034912237646007,0.4363550612800332,0.4967191271984829,0.4967191271984829,1.0,-0.5865491441145935,0.019538839672753827,0.0052328578098200795
22,1783272169.0916295,1783272169.0917017,37.0,7098.0,48.0,297.0,44.0,210.0,17.0,3836.0,map,18605.38753532,0.2712883870875341,-0.7308524498486161,0.02447776509240019,0.016011720692526626,-0.007308492243681359,0.7293098832738213,0.6839570928798925,1.634768156877637,0.0010972023010253906,0.6712883870875341,0.5191475501513839,1.634768156877637,0.6710958400787086,0.5177423103032537,1.634768156877637,0.6715150415864632,-0.02445107966526254,0.06397183007763707,1.05,-0.15,1.0404435019750669,-0.0008178031862530744,0.3696846502653834,0.3696846502653834,1.0,-0.1494879744349895,-0.00019254700882553877,-0.0014052398481302353
23,1783272173.5972369,1783272173.597367,40.0,5301.0,44.0,324.0,47.0,224.0,19.0,2909.0,map,18609.869162062,0.28160160076302543,-0.729141903395261,0.02395346919691861,0.01711909785725012,-0.006113011647555164,0.7678197695987029,0.6404079707425145,1.7510442732190732,0.005757808685302734,0.6816016007630255,0.520858096604739,1.7510442732190732,0.6931693643452969,0.5217480789496419,1.7510442732190732,0.7564879120217689,-0.016735541391402424,0.18024794641907316,1.05,-0.15,1.0170630787745472,0.03074795005611365,0.2648661916671972,0.2648661916671972,1.0,-0.18372441925149485,0.011567763582271406,0.0008899823449028954
24,1783272179.54218,1783272179.5422356,38.0,7124.0,45.0,525.0,45.0,210.0,15.0,5086.0,map,18615.816181202,0.4830394802166632,-0.733320170508174,0.022024356451901865,0.015668863499967448,-0.007414511370518061,0.6627386771713853,0.7486500901748947,1.4489886719295244,0.0020020008087158203,0.8830394802166632,0.516679829491826,1.4489886719295244,0.8846631154787145,0.5189717493715974,1.4489886719295244,0.7849251194529999,-0.01396931679259879,-0.12180765487047562,1.05,-0.15,1.0624926367417038,-0.04794737694369629,0.27963947365392916,0.27963947365392916,1.0,-0.10281441458001975,0.0016236352620512262,0.002291919879771398
25,1783272186.3001137,1783272186.3001666,42.0,7443.0,45.0,627.0,47.0,130.0,20.0,4632.0,map,18622.587682757,0.5966711400645804,-0.8104235537836307,0.023139620525509944,0.017324958215456536,-0.004285962152811236,0.7485470578869736,0.6628414429409291,1.691834153859513,0.009372472763061523,0.9966711400645805,0.43957644621636927,1.691834153859513,0.9989448349741002,0.4340085351475661,1.691834153859513,1.0302873699189552,-0.10727835122479576,0.12103782705951294,1.05,-0.15,1.044592034472313,-0.10553844074729753,0.014410090785758462,0.014410090785758462,1.0,-0.044789243600782354,0.0022736949095197856,-0.005567911068803166
26,1783272224.1249957,1783272224.1250365,42.0,6300.0,45.0,700.0,48.0,80.0,18.0,nan,map,18660.43656056,0.6739868167385937,-0.8572844250271848,0.023148106134190063,0.01586340082253084,-0.005443043880846881,0.7140589942838139,0.6998846179693072,1.590626463191143,0.005085468292236328,1.0739868167385938,0.3927155749728152,1.590626463191143,1.0733825032537454,0.38969686061618714,1.590626463191143,1.04987573343401,-0.1519868844123097,0.01983013639114306,1.05,-0.15,1.0500393410012254,-0.1519836396266057,0.00016363974054128187,0.00016363974054128187,1.0,0.0019840297080985997,-0.0006043134848483511,-0.0030187143566280383
27,1783272226.3270128,1783272226.3270826,42.0,5614.0,45.0,697.0,48.0,80.0,17.0,nan,map,18662.608322278,0.6737077000243884,-0.8569903181154795,0.023696178021709903,0.015843524573946787,-0.005479586484624952,0.714072735432523,0.6998707633363078,1.590666549958554,0.006829023361206055,1.0737077000243884,0.39300968188452046,1.590666549958554,1.070384871502184,0.38969545398911426,1.590666549958554,1.0468998160516272,-0.15198923291456773,0.019870223158553912,1.05,-0.15,1.0500382922272693,-0.15192686248387943,0.0031390958532190555,0.0031390958532190555,1.0,0.0019272429339476907,-0.0033228285222044462,-0.0033142278954061966
28,1783272227.909219,1783272227.9092596,40.0,5730.0,46.0,700.0,48.0,82.0,18.0,nan,map,18664.204366939,0.6741238859176343,-0.8570949535036755,0.02365056920496196,0.01575936284768508,-0.005481180266305178,0.7140283063758233,0.6999179786514965,1.5905395323439104,0.009571075439453125,1.0741238859176343,0.3929050464963245,1.5905395323439104,1.0733791983570837,0.39169933812380237,1.5905395323439104,1.0498253395993402,-0.14998236139453647,0.019743205543910403,1.05,-0.15,1.0499995837751155,-0.14997892080890762,0.00017427814097323755,0.00017427814097323755,1.0,-2.1083300032567836e-05,-0.0007446875605505721,-0.0012057083725221518
29,1783272229.2903087,1783272229.290329,42.0,6303.0,45.0,700.0,48.0,80.0,17.0,nan,map,18665.606931413,0.6734091989680805,-0.8568962039230451,0.02312047741985715,0.015744821712853296,-0.005423440046823915,0.714068456786014,0.699877793554367,1.590652963998937,0.0003325939178466797,1.0734091989680805,0.3931037960769549,1.590652963998937,1.0733835091358652,0.38969593078462667,1.590652963998937,1.0498910943811948,-0.15198843700204864,0.019856637198937044,1.05,-0.15,1.0500394303600653,-0.1519854911611545,0.00014836522707839026,0.00014836522707839026,1.0,0.001985882651195069,-2.5689832215292085e-05,-0.003407865292328227
30,1783272231.5693152,1783272231.5693724,42.0,6302.0,45.0,700.0,48.0,82.0,18.0,nan,map,18667.869130432,0.6729424695152469,-0.8568556913513766,0.023164212615936004,0.015786506133491304,-0.005413732181362997,0.7141342669922882,0.6998097787508781,1.5908408851599043,0.00939798355102539,1.072942469515247,0.3931443086486234,1.5908408851599043,1.0733906203695287,0.391688772960099,1.5908408851599043,1.0499999999843412,-0.14999999998378585,0.020044558359904263,1.05,-0.15,1.0499999999996688,-0.14999999998347857,1.533067842244657e-11,1.533067842244657e-11,1.0,-1.6524736820677114e-11,0.00044815085428173695,-0.0014555356885243564
